id,key,value,type
23367195,surface,unpaved,regular
23367200,highway,track,regular
23367200,surface,unpaved,regular
23367201,highway,unclassified,regular
23367201,lanes,1,regular
23367201,surface,unpaved,regular
23367202,highway,residential,regular
23367202,lanes,1,regular
23367202,surface,paved,regular
23367203,created_by,Scarabeaus,regular
23367203,highway,unclassified,regular
23367203,surface,unpaved,regular
23367204,created_by,Scarabeaus,regular
23367204,highway,unclassified,regular
23367204,surface,paved,regular
23367206,highway,unclassified,regular
23367206,surface,paved,regular
23367207,highway,unclassified,regular
23367207,surface,paved,regular
23367208,highway,unclassified,regular
23367208,surface,paved,regular
23367209,highway,secondary,regular
23367209,lanes,2,regular
23367209,surface,paved,regular
23367210,cutting,yes,regular
23367210,highway,residential,regular
23367210,lanes,1,regular
23367210,name,Wirayudha,regular
23367210,oneway,no,regular
23367210,surface,unpaved,regular
23367211,highway,residential,regular
23367211,lanes,1,regular
23367211,surface,paved,regular
23417523,highway,secondary,regular
23417523,lanes,2,regular
23417523,name,Jalan Pattimura,regular
23417523,oneway,yes,regular
23417523,surface,paved,regular
23417764,highway,unclassified,regular
23417764,lanes,2,regular
23417764,oneway,yes,regular
23417764,source,GPS,regular
23417764,surface,paved,regular
23417765,created_by,Scarabeaus,regular
23417765,highway,residential,regular
23417765,lanes,2,regular
23417765,surface,paved,regular
23417766,highway,residential,regular
23417768,highway,unclassified,regular
23417768,lanes,2,regular
23417768,maxspeed,20,regular
23417768,name,Jalan Rumah Sakit Unud,regular
23417768,surface,asphalt,regular
23417770,created_by,Scarabeaus,regular
23417770,highway,residential,regular
23417770,lanes,2,regular
23417770,surface,paved,regular
23417771,created_by,Scarabeaus,regular
23417771,highway,residential,regular
23417771,lanes,2,regular
23417771,surface,paved,regular
23417772,highway,residential,regular
23417772,lanes,2,regular
23417772,oneway,no,regular
23417772,source,GPS,regular
23417772,surface,asphalt,regular
23417773,highway,residential,regular
23417773,lanes,2,regular
23417773,surface,paved,regular
23417774,created_by,Scarabeaus,regular
23417774,highway,residential,regular
23417774,lanes,1,regular
23417774,surface,paved,regular
23417775,created_by,Potlatch 0.9c,regular
23417775,highway,residential,regular
23417775,lanes,2,regular
23417775,surface,paved,regular
23417776,highway,unclassified,regular
23417776,lanes,2,regular
